,0
BPOS_Validity,100.0
BPOS_Frequency,99.9942126280456
BPOS_Consistency,100.0
BPOS_Uniqueness,100.0
DBTM_Validity,100.0
DBTM_Frequency,99.9942126280456
DBTM_Consistency,100.0
DBTM_Uniqueness,100.0
DBTM_Accuracy,99.9971063140228
DMEA_Validity,100.0
DMEA_Frequency,99.9942126280456
DMEA_Consistency,100.0
DMEA_Uniqueness,100.0
HKLA_Validity,100.0
HKLA_Frequency,99.9942126280456
HKLA_Consistency,100.0
HKLA_Uniqueness,100.0
MFIA_Validity,100.0
MFIA_Frequency,99.9942126280456
MFIA_Consistency,100.0
MFIA_Uniqueness,100.0
RPMA_Validity,100.0
RPMA_Frequency,99.9942126280456
RPMA_Consistency,100.0
RPMA_Uniqueness,100.0
SPPA_Validity,100.0
SPPA_Frequency,99.9942126280456
SPPA_Consistency,100.0
SPPA_Uniqueness,100.0
TQA_Validity,99.72220614618902
TQA_Frequency,99.9942126280456
TQA_Consistency,100.0
TQA_Uniqueness,100.0
TV01_Validity,100.0
TV01_Frequency,99.9942126280456
TV01_Consistency,100.0
TV01_Uniqueness,100.0
TVT_Validity,100.0
TVT_Frequency,99.9942126280456
TVT_Consistency,100.0
TVT_Uniqueness,100.0
WOBA_Validity,100.0
WOBA_Frequency,99.9942126280456
WOBA_Consistency,100.0
WOBA_Uniqueness,24.761270906881187
Completeness,99.9942126280456
